stock,sample_count,before_gap_samples,after_gap_samples,inferred_denominator,denominator_min,denominator_max,denominator_abs_spread,denominator_rel_spread,db_max_adj,db_max_minus_inferred,db_max_matches_inferred,planned_factor_min,planned_factor_max
300436.SZ,33,14,19,2.027,2.027,2.027,0.0,0.0,2.027,0.0,True,1.0,1.0
300437.SZ,32,14,18,2.9321999400097947,2.9321999400097947,2.9321999400097947,0.0,0.0,2.9322,5.99902052478285e-08,True,0.999931812286377,0.999931812286377
300438.SZ,29,14,15,4.60210012188819,4.60210012188819,4.60210012188819,0.0,0.0,4.6021,-1.2188819020764186e-07,True,0.999978244304657,0.999978244304657
300439.SZ,33,14,19,3.2306,3.2306,3.230600010699722,1.0699721997298184e-08,3.311992198755087e-09,3.2306,0.0,True,1.0,1.0
300440.SZ,33,14,19,4.2675,4.2675,4.2675,0.0,0.0,4.2675,0.0,True,1.0,1.0
300442.SZ,34,14,20,1.932100024951495,1.932100024951495,1.9321000278928,2.9413049773552302e-09,1.5223357690443956e-09,1.9321,-2.4951495092295772e-08,True,0.9901661276817322,0.9901661276817322
300443.SZ,28,14,14,4.321499916765085,4.321499916765085,4.321499916765085,0.0,0.0,4.3215,8.323491496042834e-08,True,0.9965984225273132,0.9965984225273132
300444.SZ,31,14,17,4.048400081118017,4.048400081118017,4.048400081118017,0.0,0.0,4.0484,-8.111801719223877e-08,True,0.9999011754989624,0.9999011754989624
300445.SZ,33,14,19,5.0532,5.0532,5.0532,0.0,0.0,5.0532,0.0,True,1.0,1.0
300446.SZ,31,14,17,3.5522,3.5522,3.5522,0.0,0.0,3.5522,0.0,True,1.0,1.0
300448.SZ,33,14,19,7.868000018482727,7.867999852600912,7.868000018482727,1.658818149508079e-07,2.1083097936087284e-08,7.868,-1.8482726460433696e-08,True,0.9984239935874939,0.9984239935874939
300449.SZ,30,14,16,3.628,3.628,3.628,0.0,0.0,3.628,0.0,True,1.0,1.0
300450.SZ,33,14,19,20.6664,20.66639952913079,20.6664,4.708692102894929e-07,2.2784288037079168e-08,20.6664,0.0,True,1.0,1.0
300452.SZ,33,14,19,5.7573,5.757299913341556,5.7573,8.665844397626188e-08,1.5051924335411022e-08,5.7573,0.0,True,1.0,1.0
300453.SZ,33,14,19,7.194599898518291,7.194599898518291,7.194599898518291,0.0,0.0,7.1946,1.0148170925816657e-07,True,0.9899091124534607,0.9899091124534607
300454.SZ,31,14,17,1.0057,1.0057,1.0057,0.0,0.0,1.0057,0.0,True,1.0,1.0
300455.SZ,32,14,18,3.7582,3.7582,3.7582,0.0,0.0,3.7582,0.0,True,1.0,1.0
300456.SZ,28,14,14,5.778599999499269,5.778599999499269,5.778599999499269,0.0,0.0,5.8253,0.04670000050073142,False,0.9998961687088013,0.9998961687088013
300457.SZ,34,14,20,5.8780001066877245,5.878,5.8780001066877245,1.0668772443267471e-07,1.8150344078981932e-08,5.878,-1.0668772443267471e-07,True,0.994232714176178,0.994232714176178
300458.SZ,33,14,19,5.3343,5.3343,5.3343,0.0,0.0,5.3343,0.0,True,1.0,1.0
300459.SZ,32,14,18,13.770300403234218,13.770300403234218,13.770300403234218,0.0,0.0,13.7703,-4.03234217571935e-07,True,0.9999781847000122,0.9999781847000122
300460.SZ,28,14,14,1.423200027565062,1.423200027565062,1.423200027565062,0.0,0.0,1.4232,-2.756506201073705e-08,True,0.9998594522476196,0.9998594522476196
300463.SZ,33,14,19,3.3095,3.3095,3.3095,0.0,0.0,3.3095,0.0,True,1.0,1.0
300465.SZ,33,14,19,3.2300999225294467,3.2300999225294467,3.2300999225294467,0.0,0.0,3.2301,7.747055352780308e-08,True,0.9999690651893616,0.9999690651893616
300466.SZ,28,14,14,5.421,5.421,5.421,0.0,0.0,5.421,0.0,True,1.0,1.0
300468.SZ,33,14,19,4.9932,4.9932,4.9932,0.0,0.0,4.9932,0.0,True,1.0,1.0
300469.SZ,31,14,17,3.074,3.074,3.074,0.0,0.0,3.074,0.0,True,1.0,1.0
300470.SZ,33,14,19,4.104499936707479,4.104499936707479,4.104499936707479,0.0,0.0,4.1045,6.329252055792267e-08,True,0.9860884547233582,0.9860884547233582
300471.SZ,34,14,20,5.128,5.128,5.128,0.0,0.0,5.128,0.0,True,1.0,1.0
300476.SZ,33,14,19,4.9349,4.9349,4.9349,0.0,0.0,4.9668,0.03190000000000026,False,1.0,1.0
300477.SZ,34,14,20,6.453,6.453,6.453,0.0,0.0,6.453,0.0,True,1.0,1.0
300478.SZ,29,12,17,1.929,1.929,1.929,0.0,0.0,1.929,0.0,True,1.0,1.0
300479.SZ,34,14,20,2.02619999666181,2.02619999666181,2.02619999666181,0.0,0.0,2.0262,3.3381897246442804e-09,True,0.999901294708252,0.999901294708252
300480.SZ,33,14,19,3.4885,3.4885,3.4885,0.0,0.0,3.4885,0.0,True,1.0,1.0
300481.SZ,28,14,14,3.541099967899258,3.541099967899258,3.541099967899258,0.0,0.0,3.5411,3.210074206450031e-08,True,0.9863319396972656,0.9863319396972656
300482.SZ,28,14,14,5.0871,5.0871,5.0871,0.0,0.0,5.0871,0.0,True,1.0,1.0
300483.SZ,30,14,16,1.813,1.813,1.813,0.0,0.0,1.813,0.0,True,1.0,1.0
300484.SZ,33,14,19,4.3722,4.3722,4.3722,0.0,0.0,4.3722,0.0,True,1.0,1.0
300485.SZ,33,14,19,4.271,4.271,4.271,0.0,0.0,4.271,0.0,True,1.0,1.0
300488.SZ,33,14,19,2.7992,2.7992,2.7992000725513555,7.255135558992265e-08,2.5918603740326755e-08,2.7992,0.0,True,1.0,1.0
300489.SZ,34,14,20,3.01,3.01,3.01,0.0,0.0,3.01,0.0,True,1.0,1.0
300490.SZ,29,14,15,2.042299944106476,2.042299944106476,2.042299944106476,0.0,0.0,2.0423,5.58935240313474e-08,True,0.9998531341552734,0.9998531341552734
300491.SZ,32,14,18,1.8458,1.8458,1.8458000016151883,1.6151882054060707e-09,8.750613313501303e-10,1.8514,0.005599999999999827,False,0.9963701367378235,1.0
300492.SZ,32,14,18,2.4816000634572397,2.4816000634572397,2.4816000634572397,0.0,0.0,2.4816,-6.345723990719421e-08,True,0.9933913350105286,0.9933913350105286
300493.SZ,29,14,15,3.9145998947851877,3.9145998947851877,3.914600015710015,1.2092482748471411e-07,3.089072465510548e-08,3.9146,1.0521481241809738e-07,True,0.9995402097702026,0.9995402097702026
300494.SZ,33,14,19,3.6993000943320027,3.6993000943320027,3.6993000943320027,0.0,0.0,3.6993,-9.433200265362984e-08,True,0.9999188780784607,0.9999188780784607
300496.SZ,33,14,19,4.0287,4.0287,4.0287,0.0,0.0,4.0287,0.0,True,1.0,1.0
300497.SZ,33,14,19,6.062100088222292,6.062100088222292,6.062100088222292,0.0,0.0,6.0621,-8.8222291694251e-08,True,0.9999834895133972,0.9999834895133972
300498.SZ,33,14,19,2.16429995256884,2.16429995256884,2.16429995256884,0.0,0.0,2.1643,4.7431159888589036e-08,True,0.9834588766098022,0.9834588766098022
300499.SZ,33,14,19,4.15030006849665,4.15030006849665,4.15030006849665,0.0,0.0,4.1503,-6.849665012964579e-08,True,0.9999276995658875,0.9999276995658875
300501.SZ,33,14,19,3.2043000287742,3.2043000170201714,3.2043000287742,1.175402841724349e-08,3.6682046973422696e-09,4.7394,1.5350999712258,False,0.9876728057861328,0.9876728057861328
300502.SZ,33,14,19,11.9444,11.9444,11.9444,0.0,0.0,11.9444,0.0,True,1.0,1.0
300503.SZ,31,14,17,2.5657,2.5657,2.565700071977545,7.197754481325092e-08,2.8053764981584328e-08,2.5657,0.0,True,0.9977783560752869,0.9977783560752869
300505.SZ,28,14,14,2.059,2.059,2.059,0.0,0.0,2.059,0.0,True,1.0,1.0
300506.SZ,33,14,19,4.844300003749365,4.844300003749365,4.844300003749365,0.0,0.0,4.8443,-3.749365262706306e-09,True,0.9999380707740784,0.9999380707740784
300507.SZ,28,14,14,10.9734,10.9734,10.9734,0.0,0.0,10.9734,0.0,True,1.0,1.0
300508.SZ,33,14,19,1.9789,1.9789,1.9789,0.0,0.0,1.9789,0.0,True,1.0,1.0
300509.SZ,29,14,15,4.3701,4.3701,4.3701,0.0,0.0,4.3701,0.0,True,1.0,1.0
300511.SZ,28,14,14,3.000099960319866,3.000099960319866,3.000099960319866,0.0,0.0,3.0001,3.968013428945483e-08,True,0.9999666810035706,0.9999666810035706
300512.SZ,33,14,19,3.417400042146654,3.417400042146654,3.4174000517349636,9.588309701769049e-09,2.805732306290402e-09,3.4174,-4.214665372259674e-08,True,0.9990050792694092,0.9990050792694092
300513.SZ,33,14,19,2.9616,2.9616,2.9616,0.0,0.0,2.9616,0.0,True,1.0,1.0
300514.SZ,33,14,19,2.1465000462805537,2.1465,2.1465000462805537,4.6280553611666164e-08,2.1560937625815996e-08,2.1465,-4.6280553611666164e-08,True,0.9788026809692383,0.9788026809692383
300515.SZ,33,14,19,2.2172,2.2172,2.217200004058887,4.058887004276812e-09,1.8306363901663413e-09,2.2172,0.0,True,1.0,1.0
300516.SZ,33,14,19,1.5582,1.5582,1.5582,0.0,0.0,1.5582,0.0,True,1.0,1.0
300517.SZ,33,14,19,1.8561,1.8561,1.8561,0.0,0.0,1.8561,0.0,True,1.0,1.0
300518.SZ,33,14,19,1.979,1.979,1.979,0.0,0.0,1.979,0.0,True,1.0,1.0
300519.SZ,28,14,14,2.493,2.493,2.493,0.0,0.0,2.493,0.0,True,1.0,1.0
300520.SZ,33,14,19,2.251,2.251,2.251,0.0,0.0,2.251,0.0,True,1.0,1.0
300521.SZ,30,14,16,1.8195,1.8195,1.8195,0.0,0.0,1.8195,0.0,True,1.0,1.0
300522.SZ,28,14,14,5.1803,5.1803,5.1803,0.0,0.0,5.1803,0.0,True,1.0,1.0
300523.SZ,28,14,14,2.737200021697676,2.737200021697676,2.737200021697676,0.0,0.0,2.7372,-2.1697676100274066e-08,True,0.9999269247055054,0.9999269247055054
300525.SZ,30,14,16,9.3284,9.3284,9.3284,0.0,0.0,9.3284,0.0,True,1.0,1.0
