stock,date,db_rows,db_close_rows,qlib_close_rows,qlib_close_non_null,qlib_close_file_exists,qlib_close_bin
000735.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000735.sz/close.1min.bin
000750.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000750.sz/close.1min.bin
000751.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000751.sz/close.1min.bin
000752.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000752.sz/close.1min.bin
000756.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000756.sz/close.1min.bin
000757.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000757.sz/close.1min.bin
000777.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000777.sz/close.1min.bin
000779.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000779.sz/close.1min.bin
000782.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000782.sz/close.1min.bin
000786.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000786.sz/close.1min.bin
000790.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000790.sz/close.1min.bin
000796.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000796.sz/close.1min.bin
000797.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000797.sz/close.1min.bin
000802.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000802.sz/close.1min.bin
000803.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000803.sz/close.1min.bin
000809.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000809.sz/close.1min.bin
000810.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000810.sz/close.1min.bin
000812.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000812.sz/close.1min.bin
000813.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000813.sz/close.1min.bin
000816.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000816.sz/close.1min.bin
000818.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000818.sz/close.1min.bin
000821.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000821.sz/close.1min.bin
000826.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000826.sz/close.1min.bin
000829.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000829.sz/close.1min.bin
000837.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000837.sz/close.1min.bin
000838.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000838.sz/close.1min.bin
000839.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000839.sz/close.1min.bin
000863.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000863.sz/close.1min.bin
000868.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000868.sz/close.1min.bin
000877.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000877.sz/close.1min.bin
000878.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000878.sz/close.1min.bin
000881.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000881.sz/close.1min.bin
000885.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000885.sz/close.1min.bin
